key,group,version,title,parentItem,authors,editors,otherCreators,itemType,publicationTitle,volume,issue,pages,date,dateFreetext,series,seriesTitle,url,note,abstractNote,accessDate,seriesText,journalAbbreviation,language,doi,issn,shortTitle,archive,archiveLocation,libraryCatalog,callNumber,rights,collections,deleted,tags,metaDataItemKey,metaDataItemVersion,dateAdded,dateModified,conceptTagIds,conceptTags,references,gilesUploads,extra,hidden,metaDataNote,otherCreatorRoles
D73IV4HT,2310918,1556,The Cambridge Handbook of Evolutionary Ethics,,[],"[{'@type': 'Person', 'name': 'Michael Ruse', 'uri': 'http://viaf.org/viaf/108821102/', 'localAuthorityId': '', 'firstName': 'Michael', 'lastName': 'Ruse', 'positionInList': 0, 'citationKey': None, 'affiliations': []}, {'@type': 'Person', 'name': 'Robert J. Richards', 'uri': 'http://viaf.org/viaf/2789159477892427990006/', 'localAuthorityId': '', 'firstName': 'Robert J.', 'lastName': 'Richards', 'positionInList': 0, 'citationKey': None, 'affiliations': []}]","[{'@type': 'Creator', 'id': None, 'role': 'contributor', 'person': {'@type': 'Person', 'name': 'Abraham Gibson', 'uri': None, 'localAuthorityId': None, 'firstName': 'Abraham', 'lastName': 'Gibson', 'positionInList': 0, 'citationKey': None, 'affiliations': None}, 'positionInList': 0}]",BOOK,,,,,,2017-08-24,,,https://www.cambridge.org/core/books/abs/cambridge-handbook-of-evolutionary-ethics/path-to-the-present/3C7C13CD4B48C5CAEB8F192ED316916B,,,,,,en,,,,,,Google Books,,,['CCBBAEJJ'],0,"[{'tag': 'History / Social History', 'type': 1}, {'tag': 'Philosophy / Ethics & Moral Philosophy', 'type': 1}, {'tag': 'Philosophy / General', 'type': 1}, {'tag': 'Philosophy / History & Surveys / General', 'type': 1}, {'tag': 'Science / History', 'type': 1}, {'tag': 'Science / Life Sciences / Biology', 'type': 1}, {'tag': 'Science / Life Sciences / Evolution', 'type': 1}, {'tag': 'Science / Philosophy & Social Aspects', 'type': 1}]",R5PJRB8I,1487,2023-02-23T17:07:56Z,,[],[],[],[],,0,False,['contributor']
R53V9B5T,2310918,66,"The History of Science and the Science of History: Computational Methods, Algorithms, and the Future of the Field",,"[{'@type': 'Person', 'name': 'Abraham Gibson', 'uri': None, 'localAuthorityId': None, 'firstName': 'Abraham', 'lastName': 'Gibson', 'positionInList': 0, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Cindy Ermus', 'uri': None, 'localAuthorityId': None, 'firstName': 'Cindy', 'lastName': 'Ermus', 'positionInList': 1, 'citationKey': None, 'affiliations': None}]",[],[],JOURNAL_ARTICLE,Isis,110,3,555-566,,2019-09-01,,,https://www.journals.uchicago.edu/doi/10.1086/705543,,"Many researchers insist that computational methods will transform the historical profession, while an equally large number reject these claims as unwarranted hype. This study attempts to place the debate in historical and social context. The essay is divided into three parts. The ﬁrst part offers a brief review of computational history. It asks whether the “computational turn” bears any resemblance to quantitative history and how it ﬁts within the digital humanities. The second part describes the authors’ recent attempts to apply computational methods to an existing project in the history of science using a standardized workﬂow. It demonstrates that each step of the workﬂow adds another layer of subjectivity. The third part reﬂects on what computational methods mean for the historical profession. It systematically reviews the positive aspects of computational history (open access, interdisciplinary collaboration, and new perspectives) as well as the negative aspects (inequality, fragility, and the threat of automation) and offers prescriptions based on the authors’ experiences.",2023-02-23T08:43:04Z,,Isis,en,,,The History of Science and the Science of History,,,DOI.org (Crossref),,,['CCBBAEJJ'],0,[],,0,2023-02-23T17:07:57Z,,,,,,,0,False,[]
BT5JRKHC,2310918,1402,Data Science and the 3-Point Revolution in the NBA,,"[{'@type': 'Person', 'name': 'Abraham Gibson', 'uri': 'http://viaf.org/viaf/107368560/', 'localAuthorityId': '', 'firstName': 'Abraham', 'lastName': 'Gibson', 'positionInList': 0, 'citationKey': None, 'affiliations': []}]",[],[],BLOG_POST,,,,,,2019-02-25,,,https://ageofrevolutions.com/2019/02/25/data-science-and-the-3-point-revolution-in-the-nba/,,,2023-02-23T08:46:19Z,,,en,,,,,,,,,['CCBBAEJJ'],0,[],TWFVH3NQ,1403,2023-02-23T17:07:56Z,,[],[],[],[],,0,False,[]
X5T3E7M9,2310918,66,The Roots of Multilevel Selection Theory: Concepts of Biological Individuality in the Early Twentieth Century,,"[{'@type': 'Person', 'name': 'Abraham H. Gibson', 'uri': None, 'localAuthorityId': None, 'firstName': 'Abraham H.', 'lastName': 'Gibson', 'positionInList': 0, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Christina L. Kwapich', 'uri': None, 'localAuthorityId': None, 'firstName': 'Christina L.', 'lastName': 'Kwapich', 'positionInList': 1, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Martha Lang', 'uri': None, 'localAuthorityId': None, 'firstName': 'Martha', 'lastName': 'Lang', 'positionInList': 2, 'citationKey': None, 'affiliations': None}]","[{'@type': 'Person', 'name': 'Ciprian Jeler', 'uri': None, 'localAuthorityId': None, 'firstName': 'Ciprian', 'lastName': 'Jeler', 'positionInList': 0, 'citationKey': None, 'affiliations': None}]",[],BOOK_SECTION,,,,13-45,2018-01-01T00:00Z,2018,,,https://doi.org/10.1007/978-3-319-78677-3_2,,"Scientists, philosophers, and historians generally agree that biologists thought “naively” about evolutionary dynamics during the early twentieth century, and that their attempts to explain biological phenomena lacked sophistication. Now that several recent works have called attention to the complex relationship between biological individuality and the levels of selection, we believe it will prove instructive to revisit these early-twentieth-century biologists and reassess their criteria for biological individuality. Doing so reveals that they constructed a multilevel theory of evolution that anticipated modern interpretations in several important ways. Most failed to recognize natural selection’s pervasive agency, but some artfully united the multilevel theory of “emergent evolution” with natural selection in ways that differ but little from the theory of multilevel selection that many scientists and scholars now promote.",2023-02-23T08:44:09Z,,,en,,,The Roots of Multilevel Selection Theory,,,Springer Link,,,['CCBBAEJJ'],0,"[{'tag': 'Biological individuality', 'type': 1}, {'tag': 'Emergent evolution', 'type': 1}, {'tag': 'Multilevel selection', 'type': 1}]",,0,2023-02-23T17:07:57Z,,,,,,,0,False,[]
T3FK2PFZ,2310918,66,Focus: Computational history and philosophy of science,,"[{'@type': 'Person', 'name': 'Abraham Gibson', 'uri': None, 'localAuthorityId': None, 'firstName': 'Abraham', 'lastName': 'Gibson', 'positionInList': 0, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Manfred D. Laubichler', 'uri': None, 'localAuthorityId': None, 'firstName': 'Manfred D.', 'lastName': 'Laubichler', 'positionInList': 1, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Jane Maienschein', 'uri': None, 'localAuthorityId': None, 'firstName': 'Jane', 'lastName': 'Maienschein', 'positionInList': 2, 'citationKey': None, 'affiliations': None}]",[],[],JOURNAL_ARTICLE,Isis; an international review devoted to the history of science and its cultural influences,110,3,497-501,,2019-09-01,,,http://www.scopus.com/inward/record.url?scp=85072054298&partnerID=8YFLogxK,,"Digital technologies have transformed both the historical record and the historical profession. This Focus section examines how computational methods have influenced, and will influence, the history of science. The essays discuss the new types of questions and narratives that computational methods enable and the need for better data management in the history and philosophy of science (HPS) community. They showcase various methodological approaches, including textual and network analyses, and they place the computational turn in historiographical and societal context. Rather than surrendering to either technophilia or technophobia, the essays articulate both the benefits and the drawbacks of computational HPS. They agree that the future of the field depends on the successful integration of technological developments, social practices, and infrastructural support and that historians of science must learn to embrace collaboration both within and beyond disciplinary boundaries.",2023-02-23T08:44:43Z,,,,,,Focus,,,Arizona State University,,,['CCBBAEJJ'],0,[],,0,2023-02-23T17:07:56Z,,,,,,,0,False,[]
AEB6M8AU,2310918,66,Book Review: Biology in the Marvel Cinematic Universe,,"[{'@type': 'Person', 'name': 'Abraham Gibson', 'uri': None, 'localAuthorityId': None, 'firstName': 'Abraham', 'lastName': 'Gibson', 'positionInList': 0, 'citationKey': None, 'affiliations': None}]",[],[],JOURNAL_ARTICLE,Journal of the History of Biology,52,2,365-369,,2019-06-01,,,https://doi.org/10.1007/s10739-019-9564-0,,,2023-02-23T08:45:40Z,,J Hist Biol,en,,,Book Review,,,Springer Link,,,['CCBBAEJJ'],0,[],,0,2023-02-23T17:07:56Z,,,,,,,0,False,[]
BTQMB9FJ,2310918,1266,Convenient Interface to Inverse Ising (ConIII): A Python 3 Package for Solving Ising-Type Maximum Entropy Models,,"[{'@type': 'Person', 'name': 'Edward D. Lee', 'uri': None, 'localAuthorityId': None, 'firstName': 'Edward D.', 'lastName': 'Lee', 'positionInList': 0, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Bryan C. Daniels', 'uri': None, 'localAuthorityId': None, 'firstName': 'Bryan C.', 'lastName': 'Daniels', 'positionInList': 1, 'citationKey': None, 'affiliations': None}]",[],[],JOURNAL_ARTICLE,Journal of Open Research Software,,,,,2019-03-10,,,http://arxiv.org/abs/1801.08216,,"ConIII (pronounced CON-ee) is an open-source Python project providing a simple interface to solving the pairwise and higher order Ising model and a base for extension to other maximum entropy models. We describe the maximum entropy problem and give an overview of the algorithms that are implemented as part of ConIII (https://github.com/eltrompetero/coniii) including Monte Carlo histogram, pseudolikelihood, minimum probability flow, a regularized mean field method, and a cluster expansion method. Our goal is to make a variety of maximum entropy techniques accessible to those unfamiliar with the techniques and accelerate workflow for users.",2023-02-22T17:50:06Z,,,,,,Convenient Interface to Inverse Ising (ConIII),,,arXiv.org,,,['8N29G786'],0,"[{'tag': 'Condensed Matter - Statistical Mechanics', 'type': 1}, {'tag': 'Physics - Computational Physics', 'type': 1}, {'tag': 'Quantitative Biology - Quantitative Methods', 'type': 1}]",,0,2023-02-23T17:05:48Z,,,,,,,0,False,[]
E6WDEQ5M,2310918,43,Subcritical escape waves in schooling fish,,"[{'@type': 'Person', 'name': 'Winnie Poel', 'uri': None, 'localAuthorityId': None, 'firstName': 'Winnie', 'lastName': 'Poel', 'positionInList': 0, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Bryan C. Daniels', 'uri': None, 'localAuthorityId': None, 'firstName': 'Bryan C.', 'lastName': 'Daniels', 'positionInList': 1, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Matthew M. G. Sosna', 'uri': None, 'localAuthorityId': None, 'firstName': 'Matthew M. G.', 'lastName': 'Sosna', 'positionInList': 2, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Colin R. Twomey', 'uri': None, 'localAuthorityId': None, 'firstName': 'Colin R.', 'lastName': 'Twomey', 'positionInList': 3, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Simon P. Leblanc', 'uri': None, 'localAuthorityId': None, 'firstName': 'Simon P.', 'lastName': 'Leblanc', 'positionInList': 4, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Iain D. Couzin', 'uri': None, 'localAuthorityId': None, 'firstName': 'Iain D.', 'lastName': 'Couzin', 'positionInList': 5, 'citationKey': None, 'affiliations': None}, {'@type': 'Person', 'name': 'Pawel Romanczuk', 'uri': None, 'localAuthorityId': None, 'firstName': 'Pawel', 'lastName': 'Romanczuk', 'positionInList': 6, 'citationKey': None, 'affiliations': None}]",[],[],JOURNAL_ARTICLE,Science Advances,8,25,eabm6385,,2022-06-22,,,https://www.science.org/doi/full/10.1126/sciadv.abm6385,,"Theoretical physics predicts optimal information processing in living systems near transitions (or pseudo-critical points) in their collective dynamics. However, focusing on potential benefits of proximity to a critical point, such as maximal sensitivity to perturbations and fast dissemination of information, commonly disregards possible costs of criticality in the noisy, dynamic environmental contexts of biological systems. Here, we find that startle cascades in fish schools are subcritical (not maximally responsive to environmental cues) and that distance to criticality decreases when perceived risk increases. Considering individuals’ costs related to two detection error types, associated to both true and false alarms, we argue that being subcritical, and modulating distance to criticality, can be understood as managing a trade-off between sensitivity and robustness according to the riskiness and noisiness of the environment. Our work emphasizes the need for an individual-based and context-dependent perspective on criticality and collective information processing and motivates future questions about the evolutionary forces that brought about a particular trade-off.",2023-02-22T17:54:17Z,,,,,,,,,science.org (Atypon),,,['8N29G786'],0,[],,0,2023-02-23T17:05:51Z,,,,,,,0,False,[]
WPTZPE8M,2310918,1480,‪Understanding the logic of adaptive collective behavior‬,,"[{'@type': 'Person', 'name': 'Bryan Daniels', 'uri': '', 'localAuthorityId': '', 'firstName': 'Bryan', 'lastName': 'Daniels', 'positionInList': 0, 'citationKey': None, 'affiliations': []}]",[],[],CONFERENCE_PAPER,,,,,2022-04-06T00:00Z,04/06/2022,,,https://meetings.ams.org/math/jmm2022/meetingapp.cgi/Paper/8171#!,,,2023-02-22T18:02:52Z,,,en,,,,,,,,,['8N29G786'],0,[],9EBIQ3XZ,1481,2023-02-23T17:05:51Z,,[],[],[],[],,0,False,[]
2H3MNET7,2310918,1476,Identifying a developmental transition in honey bees using gene expression data,,"[{'@type': 'Person', 'name': 'Bryan C. Daniels', 'uri': '', 'localAuthorityId': '', 'firstName': 'Bryan C.', 'lastName': 'Daniels', 'positionInList': 0, 'citationKey': None, 'affiliations': []}, {'@type': 'Person', 'name': 'Gro V. Amdam', 'uri': '', 'localAuthorityId': '', 'firstName': 'Gro V.', 'lastName': 'Amdam', 'positionInList': 0, 'citationKey': None, 'affiliations': []}, {'@type': 'Person', 'name': 'Robert E. Page', 'uri': '', 'localAuthorityId': '', 'firstName': 'Robert E.', 'lastName': 'Page', 'positionInList': 0, 'citationKey': None, 'affiliations': []}, {'@type': 'Person', 'name': 'Ying Wang', 'uri': '', 'localAuthorityId': '', 'firstName': 'Ying', 'lastName': 'Wang', 'positionInList': 0, 'citationKey': None, 'affiliations': []}]",[],[],REPORT,,,,,,2022-11-07,,,http://biorxiv.org/lookup/doi/10.1101/2022.11.03.514986,,,2023-02-22T18:03:07Z,,,en,,,,,,https://doi.org/10.1101/2022.11.03.514986,,,['8N29G786'],0,[],9ZB8SD9Q,1477,2023-02-23T17:05:49Z,,[],[],[],[],,0,False,[]
